Number,Date,Source,Prompt,Ref_Code,Gen_Tool,Gen_Code,Correct,Note
1,2025-10-19,?graphics::plot.default,Plot distance vs speed from the cars dataset with medium-large open blue rectangles and an 8x8 grid,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = grid(8, 8), pch = 0, cex = 1.2, col = ""blue"")",make_plot,"png(filename)\n# Load the cars dataset\nnovel_cars <- cars\n\n# Create the plot with specified parameters\nplot(novel_cars$speed, novel_cars$dist, type = 'p', pch = 22, col = 'blue', bg = 'blue', cex = 1.5,\n     xlab = 'Speed', ylab = 'Distance', main = 'Distance vs Speed')\n\n# Configure the plot's grid\ngrid()  \n\n# Setting an 8x8 layout\npar(mar=c(5,5,2,2))\n\n# Adjust axis limits for better visibility\nxlim <- range(novel_cars$speed)\nylim <- range(novel_cars$dist)\npoints(novel_cars$speed, novel_cars$dist, pch = 22, col = 'blue', bg = 'blue', cex = 1.5)\ndev.off()",False,Correct grid spacing and use unfilled points
2,2025-10-19,,ggplot wt vs mpg from mtcars,"library(ggplot2)\nggplot(mtcars, aes(mpg, wt)) + geom_point()\nggsave(filename, device = ""png"")",make_ggplot,"library(ggplot2)\nggplot(mtcars, aes(mpg, wt)) +\n  geom_point() +\n  labs(title = 'Weight vs MPG', x = 'Miles Per Gallon (MPG)', y = 'Weight (1000 lbs)')\n  ggsave(filename, device = 'png')",True,Title and axis labels not specified by user
3,2025-10-20,,Plot distance vs speed from the cars dataset with medium-large open blue rectangles and gridlines at the tick marks,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = grid(), pch = 0, cex = 1.2, col = ""blue"")",make_plot,"png(filename)\n# Load the cars dataset\ndf <- cars\n\n# Set up the plot\nplot(df$speed, df$dist, xlab=\""Speed (mph)\"", ylab=\""Distance (ft)\"",\n     pch=15, col='blue', cex=1.5, main=\""Distance vs Speed\"")\n\n# Add gridlines\ngrid()\n\n# Close the graphics device\ndev.off()",False,Use unfilled points
4,2025-10-20,?graphics::plot.default,Use R's cars dataset. Make a distance-speed (y-x) plot with a lowess fit.,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = lines(stats::lowess(Speed, Distance), lty = ""dashed""), pch = 0, cex = 1.2, col = ""blue"")",make_plot,"png(filename)\ncars_data <- cars\nplot(cars_data$speed, cars_data$dist, xlab='Speed (mph)', ylab='Stopping Distance (ft)', main='Stopping Distance vs Speed')\nlines(lowess(cars_data$speed, cars_data$dist), col='blue', lwd=2)\ndev.off()",True,User did not specify point or line styles and title or axis labels
5,2025-10-20,,"Calculate y = sin(pi/5 * x) at x = 0 to 12 step by 1. In a 2x2 grid, make 4 plots with points, lines, both points and lines, and histogram-like vertical lines","## Show the different plot types\nx <- 0:12\ny <- sin(pi/5 * x)\nop <- par(mfrow = c(2,2), mar = .1+ c(2,2,3,1))\nfor (tp in c(""p"",""l"",""b"",""h"")) {\n    plot(y ~ x, type = tp, main = paste0(""plot(*, type = \"""", tp, ""\"")""))\n}\npar(op)",make_plot,"png(filename)\nx <- 0:12\npi_val <- pi / 5\ny <- sin(pi_val * x)\npar(mfrow = c(2, 2))\n\n# Plot with points\nplot(x, y, main = 'Plot with Points', pch = 19)\n\n# Plot with lines\nplot(x, y, type = 'l', main = 'Plot with Lines')\n\n# Plot with both points and lines\nplot(x, y, type = 'b', pch = 19, main = 'Plot with Points and Lines')\n\n# Histogram-like vertical lines\nplot(x, y, type = 'n', main = 'Histogram-like Vertical Lines')\nfor(i in 1:length(x)) {\n  segments(x[i], 0, x[i], y[i], col = 'blue', lwd = 2)\n}\ndev.off()",True,"User did not specify point symbols, line colors, or titles"
6,2025-10-21,?graphics::barplot,Make a barplot of gross national product for each year using the longley data,"barplot(GNP ~ Year, data = longley)",make_plot,"png(filename)\n# Load the longley dataset\ndata(longley)\n\n# Create a barplot of Gross National Product for each year\nbarplot(longley$GNP, names.arg = longley$Year, xlab = ""Year"", ylab = ""Gross National Product"", main = ""Gross National Product Over Years"")\ndev.off()",True,User did not specify title
7,2025-10-21,?graphics::barplot,"Use longley dataset, show stacked bars of numbers of employed and unemployed across years","barplot(cbind(Employed, Unemployed) ~ Year, data = longley)",make_plot,"png(filename)\n# Load the longley dataset\nlongley_data <- longley\n\n# Create a bar plot for Employed and Unemployed across years\nbarplot(t(as.matrix(longley_data[, c(""Employed"", ""Unemployed"")])),\n        beside = FALSE, \n        col = c(""lightblue"", ""lightcoral""), \n        names.arg = longley_data$Year,\n        xlab = ""Year"", \n        ylab = ""Number of People"", \n        main = ""Stacked Bar Plot of Employed and Unemployed Across Years"")\nlegend(""topright"", legend = c(""Employed"", ""Unemployed""), fill = c(""lightblue"", ""lightcoral""))\ndev.off()",True,"User did not specify colors, legend, or title"
8,2025-10-21,?graphics::barplot,"For the adult male passengers on the Titanic, make barplots of survivors and non-survivors subdivided by class","d.Titanic <- as.data.frame(Titanic)\nbarplot(Freq ~ Class + Survived, data = d.Titanic,\n        subset = Age == ""Adult"" & Sex == ""Male"",\n        main = ""barplot(Freq ~ Class + Survived, *)"", ylab = ""# {passengers}"", legend.text = TRUE)",make_plot,"png(filename)\n# Load the Titanic dataset\nurl <- ""https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv""\ndf <- read.csv(url)\n\n# Filter for adult male passengers\nadult_males <- df[df$Sex == ""male"" & df$Age >= 18, ]\n\n# Create a table of survivors (1) and non-survivors (0) subdivided by class\nsurvival_class <- table(adult_males$Pclass, adult_males$Survived)\n\n# Convert table to a bar plot\nbarplot(survival_class, beside = TRUE, col = c(""red"", ""green""),\n        legend.text = c(""Non-Survivors"", ""Survivors""),\n        xlab = ""Class"", ylab = ""Number of Passengers"",\n        main = ""Survivors and Non-Survivors of Adult Male Passengers on the Titanic"")\ndev.off()",False,"Don't download Titanic data, use R's built-in dataset, use stacked bars, label classes"
9,2025-10-21,?graphics::barplot,"Using the VADeaths dataset,  plot death rates in each category with separate bars for each age range. Include a legend for age ranges and title the plot ""Death Rates in Virginia""","barplot(VADeaths, beside = TRUE,\n        col = c(""lightblue"", ""mistyrose"", ""lightcyan"",\n                ""lavender"", ""cornsilk""),\n        legend.text = rownames(VADeaths), ylim = c(0, 100))\ntitle(main = ""Death Rates in Virginia"", font.main = 4)",make_plot,"png(filename)\nbarplot(VADeaths, beside=TRUE, main='Death Rates in Virginia',\nxlab='Categories', ylab='Death Rates',\nlegend=rownames(VADeaths), col=rainbow(nrow(VADeaths)))\ndev.off()",True,"User did not specify bar colors, y-axis range, or axis labels"
10,2025-10-21,?graphics::barplot,"Stacked barplot of death rates in Virginia with ages indicated by shading lines, steeper for higher age","barplot(VADeaths, angle = 15+10*1:5, density = 20, col = ""black"",\n        legend.text = rownames(VADeaths))\ntitle(main = list(""Death Rates in Virginia"", font = 4))",make_plot,"png(filename)\n# Sample data for stacked barplot (Replace this with the actual data)\nage_groups <- c('0-14', '15-29', '30-44', '45-64', '65+')\ndeath_rates <- c(10, 20, 30, 40, 50)\n\n# Create a barplot with shading lines according to age\nbarplot(death_rates, names.arg=age_groups, col=rainbow(length(death_rates)),\n        main='Death Rates in Virginia', xlab='Age Groups', ylab='Death Rates',\n        beside=FALSE)\n\n# Add shading lines for ages\nfor (i in seq_along(death_rates)) {\n  segments(i - 0.5, 0, i - 0.5, death_rates[i], col='black', lwd=i*0.5, lty=2)\n}\ndev.off()",False,"Use categories on x-axis, stacked bars for age groups, and shading lines without colors"
