Number,Date,Source,File,Prompt,Ref_Code,Gen_Tool,Gen_Code,Correct,Note
1,2025-10-24,?graphics::plot.default,,Plot distance vs speed from the cars dataset with medium-large open blue rectangles and an 8x8 grid,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = grid(8, 8), pch = 0, cex = 1.2, col = ""blue"")",make_plot,"png(filename)\npar(mfrow=c(1,1), mar=c(5,5,2,2))\nplot(cars$speed, cars$dist, type='n', xlab='Speed', ylab='Distance', main='Distance vs Speed')\nrect(cars$speed - 0.5, cars$dist - 2, cars$speed + 0.5, cars$dist + 2, col='blue', border='black', density=NULL)\ngrid()\ndev.off()",False,Correct grid spacing and use unfilled points
2,2025-10-24,,,ggplot wt vs mpg from mtcars,"library(ggplot2)\nggplot(mtcars, aes(mpg, wt)) + geom_point()\nggsave(filename, device = ""png"")",make_ggplot,"library(ggplot2)\nggplot(mtcars, aes(mpg, wt)) +\n  geom_point() +\n  labs(title = ""Weight vs MPG"", x = ""Miles per Gallon (mpg)"", y = ""Weight (wt)"")\n\nggsave(filename, device = ""png"")",True,Title and axis labels not specified by user
3,2025-10-24,,,Plot distance vs speed from the cars dataset with medium-large open blue rectangles and gridlines at the tick marks,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = grid(), pch = 0, cex = 1.2, col = ""blue"")",make_plot,"png(filename)\ndf <- read.csv(""https://people.sc.fsu.edu/~jburkardt/data/csv/cars.csv"")\nplot(df$speed, df$distance, main = ""Distance vs Speed"", xlab = ""Speed"", ylab = ""Distance"", pch = 22, col = ""blue"", bg = ""lightblue"", cex = 2)\ngrid()\ndev.off()",False,Use builtin dataset
4,2025-10-24,?graphics::plot.default,,Use R's cars dataset. Make a distance-speed (y-x) plot with a lowess fit.,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = lines(stats::lowess(Speed, Distance), lty = ""dashed""), pch = 0, cex = 1.2, col = ""blue"")",make_plot,"png(filename)\ndata(cars)\nplot(cars$speed, cars$dist, xlab = ""Speed (mph)"", ylab = ""Distance (ft)"", main = ""Distance vs Speed with Lowess Fit"")\nlines(lowess(cars$speed, cars$dist), col = ""blue"")\ndev.off()",True,User did not specify point or line styles and title or axis labels
5,2025-10-24,,,"Calculate y = sin(pi/5 * x) at x = 0 to 12 step by 1. In a 2x2 grid, make 4 plots with points, lines, both points and lines, and histogram-like vertical lines","## Show the different plot types\nx <- 0:12\ny <- sin(pi/5 * x)\nop <- par(mfrow = c(2,2), mar = .1+ c(2,2,3,1))\nfor (tp in c(""p"",""l"",""b"",""h"")) {\n    plot(y ~ x, type = tp, main = paste0(""plot(*, type = \"""", tp, ""\"")""))\n}\npar(op)",make_plot,"png(filename)\nx <- 0:12\ny <- sin(pi/5 * x)\nplot(x, y, main='Scatter Plot', xlab='X', ylab='Y')\ndev.off()\n\npng(filename)\nx <- 0:12\ny <- sin(pi/5 * x)\nplot(x, y, type='l', main='Line Plot', xlab='X', ylab='Y')\ndev.off()\n\npng(filename)\nx <- 0:12\ny <- sin(pi/5 * x)\nplot(x, y, main='Points and Lines', xlab='X', ylab='Y')\nlines(x, y)\ndev.off()\n\npng(filename)\nx <- 0:12\ny <- sin(pi/5 * x)\nplot(x, y, main='Histogram-like Vertical Lines', xlab='X', ylab='Y', type='n')\nfor(i in 0:12) {\n  lines(c(i, i), c(0, sin(pi/5 * i)), col='blue')\n}\ndev.off()",False,Use a single function call to make 4 plots in a 2x2 grid with mfrow()
6,2025-10-24,?graphics::barplot,,Make a barplot of gross national product for each year using the longley data,"barplot(GNP ~ Year, data = longley)",make_plot,"png(filename)\ndata(longley)\nbarplot(longley$GNP, names.arg = longley$Year, xlab = ""Year"", ylab = ""Gross National Product"", main = ""Gross National Product by Year"", col = ""blue"")\ndev.off()",True,User did not specify title
7,2025-10-24,?graphics::barplot,,"Use longley dataset, show stacked bars of numbers of employed and unemployed across years","barplot(cbind(Employed, Unemployed) ~ Year, data = longley)",make_plot,"png(filename)\ndata(longley)\nbarplot(t(as.matrix(longley[, c(""Employed"", ""Unemployed"")])), \n  beside = FALSE, \n  col = c(""blue"", ""red""), \n  names.arg = longley$Year,\n  xlab = ""Year"", \n  ylab = ""Number of People"", \n  main = ""Employed and Unemployed Across Years"")\ndev.off()",True,"User did not specify colors, legend, or title"
8,2025-10-24,?graphics::barplot,,"For the adult male passengers on the Titanic, make barplots of survivors and non-survivors subdivided by class","d.Titanic <- as.data.frame(Titanic)\nbarplot(Freq ~ Class + Survived, data = d.Titanic,\n        subset = Age == ""Adult"" & Sex == ""Male"",\n        main = ""barplot(Freq ~ Class + Survived, *)"", ylab = ""# {passengers}"", legend.text = TRUE)",make_plot,"png(filename)\n# Load the Titanic dataset from an appropriate source\nurl <- ""https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv""\ndf <- read.csv(url)\n\n# Filter for adult male passengers\nadult_men <- df[df$Sex == ""male"" & df$Age >= 18, ]\n\n# Create a table of survivors by class\nsurvivors <- table(adult_men$Survived, adult_men$Pclass)\n\n# Create barplot for survivors\nbarplot(survivors, main = ""Survivors of Titanic Among Adult Male Passengers by Class"",\n        xlab = ""Passenger Class"",\n        ylab = ""Number of Passengers"",\n        col = c(""lightblue"", ""salmon""),\n        legend = rownames(survivors),\n        beside = TRUE)\n\ndev.off()",False,"Use adult males from Titanic dataset. Use barplot to show numbers of passenger in terms of survival (x axis) and class (stacking in bars - 1,2,3,Crew)."
9,2025-10-24,?graphics::barplot,,"Using the VADeaths dataset,  plot death rates in each category with separate bars for each age range. Include a legend for age ranges and title the plot ""Death Rates in Virginia""","barplot(VADeaths, beside = TRUE,\n        col = c(""lightblue"", ""mistyrose"", ""lightcyan"",\n                ""lavender"", ""cornsilk""),\n        legend.text = rownames(VADeaths), ylim = c(0, 100))\ntitle(main = ""Death Rates in Virginia"", font.main = 4)",make_plot,"png(filename)\nbarplot(VADeaths, beside = TRUE, col = rainbow(4), \n        main = ""Death Rates in Virginia"", \n        ylab = ""Death Rates"",\n        legend = rownames(VADeaths))\ndev.off()",True,"User did not specify bar colors, y-axis range, or axis labels"
10,2025-10-24,?graphics::barplot,,"Stacked barplot of death rates in Virginia with ages indicated by shading lines, steeper for higher age","barplot(VADeaths, angle = 15+10*1:5, density = 20, col = ""black"",\n        legend.text = rownames(VADeaths))\ntitle(main = list(""Death Rates in Virginia"", font = 4))","help_package, make_plot","png(filename)\ndf <- VADeaths\nbarplot(as.matrix(df), beside=FALSE, col=rainbow(nrow(df)), las=1,\n        main=""Stacked Barplot of Death Rates in Virginia"",\n        ylab=""Death Rates"",\n        xlab=""Causes of Death"")\nabline(h = seq(0, max(rowSums(as.matrix(df))), by=10), col='black', lwd=0.7, lty=2)\ntext(x=barplot(as.matrix(df), plot=FALSE),\n     y=rowSums(df),\n     labels=rowSums(df),\n     pos=3)\ndev.off()",True,
11,2025-10-24,?graphics::boxplot,,boxplot insect counts for spray type,"boxplot(count ~ spray, data = InsectSprays, col = ""lightgray"")","help_package, help_topic, make_plot","png(filename)\nboxplot(count ~ spray, data = InsectSprays,\n        xlab = ""Type of spray"", ylab = ""Insect count"",\n        main = ""InsectSprays data"", varwidth = TRUE, col = ""lightgray"")\ndev.off()",True,
12,2025-10-24,?graphics::boxplot,,Show log response vs treatment for orchard sprays,"boxplot(decrease ~ treatment, data = OrchardSprays, col = ""bisque"", log = ""y"")","help_topic, help_package, help_topic, make_plot","png(filename)\ndf <- OrchardSprays\ndf$decrease <- log(df$decrease)  \nplot(df$treatment, df$decrease, xlab = ""Treatment"", ylab = ""Log(Response)"", main = ""Log Response vs Treatment for Orchard Sprays"")\ndev.off()",True,
13,2025-10-24,?graphics::boxplot,,"For tooth growth of guinea pigs, make side-by-side box plots of tooth length for ascorbic acid and orange juice at different vitamin C doses. Color the bars ascorbic acid - yellow and orange juice - orange","boxplot(len ~ dose, data = ToothGrowth,\n        boxwex = 0.25, at = 1:3 - 0.2,\n        subset = supp == ""VC"", col = ""yellow"",\n        main = ""Guinea Pigs' Tooth Growth"",\n        xlab = ""Vitamin C dose mg"",\n        ylab = ""tooth length"",\n        xlim = c(0.5, 3.5), ylim = c(0, 35), yaxs = ""i"")\nboxplot(len ~ dose, data = ToothGrowth, add = TRUE,\n        boxwex = 0.25, at = 1:3 + 0.2,\n        subset = supp == ""OJ"", col = ""orange"")\nlegend(2, 9, c(""Ascorbic acid"", ""Orange juice""),\n       fill = c(""yellow"", ""orange""))",make_plot,"png(filename)\n\t\n\tlibrary(datasets)\n\tdata(ToothGrowth)\n\t\n\t# Converting 'supp' to a factor\n\tToothGrowth$supp <- as.factor(ToothGrowth$supp)\n\t\n\t# Creating boxplots\n\tboxplot(len ~ dose * supp, data = ToothGrowth,\n\t        col = c(""yellow"", ""orange""),\n\t        main = ""Tooth Length by Vitamin C Dose"",\n\t        xlab = ""Vitamin C Dose"",\n\t        ylab = ""Tooth Length"",\n\t        names = c(""0.5 mg"", ""1.0 mg"", ""2.0 mg""),\n\t        las = 1)\n\tdev.off()",False,"No plot made: ""error"": ""'at' and 'labels' lengths differ, 6 != 3"
14,2025-10-24,?graphics::boxplot,,"For tooth growth of guinea pigs, make side-by-side box plots of tooth length for ascorbic acid and orange juice at different vitamin C doses. Color the bars ascorbic acid - yellow and orange juice - orange","boxplot(len ~ dose:supp, data = ToothGrowth,\n        boxwex = 0.5, col = c(""orange"", ""yellow""),\n        main = ""Guinea Pigs' Tooth Growth"",\n        xlab = ""Vitamin C dose mg"", ylab = ""tooth length"",\n        sep = "":"", lex.order = TRUE, ylim = c(0, 35), yaxs = ""i"")",make_plot,"png(filename)\nset.seed(123)\n\n# Load the ToothGrowth dataset\n\ndata(ToothGrowth)\n\n# Create a color vector for the boxplots\ncolors <- c(""yellow"", ""orange"")\n\n# Create a boxplot\nboxplot(len ~ supp * dose, data = ToothGrowth, \n        col = colors, \n        main = ""Tooth Length by Supplement and Dose"",\n        xlab = ""Dose and Supplement"",\n        ylab = ""Tooth Length"")\n\ndev.off()",False,Correct swapped colors for orange juice and vitamin C
